,question,entities,MuHeQA_Keywords,FLERT_NER,BERT_NER,RoBERTA_NER
2548,what is the nationality of errikos thalassinos,['Errikos Thalassinos'],['errikos thalassinos'],['errikos thalassinos'],[],['errikos thalassinos']
2549,"which company produced mary poppins, goodbye?","['Mary Poppins, Goodbye']","['goodbye?', 'mary poppins']","['mary poppins , goodbye']",[],['mary poppins']
2550,what language is love 101 filmed in,['Love 101'],['what language is love 101'],['love 101'],[],['love 101']
2551,what country is in the film sitting target,['Sitting Target'],['film sitting target'],[],[],[]
2552,What gender is bartosz obuchowicz?,['Bartosz Obuchowicz'],['bartosz obuchowicz'],['bartosz obuchowicz'],['bartos'],['bartosz obuchowicz']
2553,Which film did harris jayaraj do the music for,['Harris Jayaraj'],['harris jayaraj'],['harris jayaraj'],['j'],['harris jayaraj']
2554,which university had napoleon as a founder,['Napoleon'],['napoleon'],['napoleon'],[],['napoleon']
2555,who directed the movie ain't she tweet,"[""Ain't She Tweet""]","[""ain't she""]",[],[],[]
2556,what is the rank of the organism classification sium sisarum?,['Sium sisarum'],['organism classification sium sisarum'],[],[],"['sium', 'isarum']"
2557,What is shiho kawaragi's nationality,['Shiho Kawaragi'],['shiho kawaragi'],['shiho kawaragi'],[],['shiho kawaragi']
2558,what is roddy maude-roxby's country of nationality?,['Roddy Maude-Roxby'],['roddy maude-roxby'],['roddy maude-roxby'],[],['roddy maude-roxby']
2559,which genre does george jackson perform,['George Jackson'],['george jackson'],['george jackson'],[],['george jackson']
2560,what type of music does foxy brown (rapper) perform,['Foxy Brown'],['foxy brown'],['foxy brown'],[],['foxy brown']
2561,who composed the song the rainbow connection,['Rainbow Connection'],['the rainbow connection'],[],[],['the rainbow connection']
2562,Where was Takeshi Matsuyama born?,['Takeshi Matsuyama'],['takeshi matsuyama'],['Takeshi Matsuyama'],['Takeshi Matsuyama'],['Takeshi Matsuyama']
2563,Who did the cinematography of the stranger,['The Stranger'],['the stranger'],[],[],[]
2564,"which politician was born in victoria, british columbia",['Victoria'],"['victoria', 'british columbia']","['victoria', 'british columbia']",[],"['victoria', 'british columbia']"
2565,Name a athlete who plays shooting guard in basketball.,['shooting guard'],"['athlete', 'basketball']",[],[],[]
2566,Who is a Ukrainian football midfielder?,['midfielder'],['ukrainian football midfielder'],['Ukrainian'],['Ukrainian'],['Ukrainian']
2567,what instrument does tony laureano play,['Tony Laureano'],['tony laureano'],['tony laureano'],[],['tony laureano']
2568,Name someone who was born in rotherham,['Rotherham'],['rotherham'],['rotherham'],[],['rotherham']
2569,The film in praise of older women was based in which country?,['In Praise of Older Women'],['which country'],[],[],[]
2570,Which genre of film is saturday night?,['Saturday Night'],['saturday night'],[],[],[]
2571,What genre of book is villa incognito?,['Villa Incognito'],['villa incognito'],[],[],['villa']
2572,what city did leon biliński ie in,['Leon Biliński'],['leon bilinski'],['leon biliński'],[],['leon biliÅ Ħski']
2573,is benjamin watson a man or a woman,['Benjamin Watson'],['benjamin watson'],['benjamin watson'],[],['benjamin watson']
2574,what movie was bert glennon a cinematographer on,['Bert Glennon'],['bert glennon'],['bert glennon'],[],['bert glennon']
2575,what is david hall's nationality ,['David Hall'],['david hall'],['david hall'],[],['david hall']
2576,"what city is conway county, arkansas in",['Conway County'],"['conway county', 'arkansas']","['conway county', 'arkansas']",[],"['conway county', 'arkansas']"
2577,what is the country of origin associated with fast money (cnbc),['Fast Money'],"['fast money', 'cnbc']",[],[],['cnbc']
2578,who plays as a defender in football,['defender'],['football'],[],[],[]
2579,What position did soccer player kenan Čejvanović play,['Kenan Čejvanović'],['soccer player kenan cejvanovic'],['kenan Čejvanović'],['Čejvan'],['kenan Ä ĮejvanoviÄĩ']
2580,what city was michael shure born in,['Michael Shure'],['michael shure'],['michael shure'],[],['michael shure']
2581,who is the publisher for the game south park: chef's luv shack,"[""South Park: Chef's Luv Shack""]","[""south park: chef's luv shack""]","[""south park : chef 's luv shack""]",[],"['south park', ""chef's luv shack""]"
2582,What kind of film is snowfall in taipei?,['Snowfall in Taipei'],['taipei'],['taipei'],[],['taipei']
2583,What language is spoken in the tv show sailor moon,['Sailor Moon'],['tv show sailor moon'],['sailor moon'],[],['sailor moon']
2584,is dagmar heller male or female,['Dagmar Heller'],['dagmar heller male or female'],['dagmar'],[],['dagmar heller']
2585,what german city did heinz oskar wuttig die in,['Heinz Oskar Wuttig'],"['heinz oskar wuttig', 'german city']","['german', 'heinz oskar wuttig']",[],"['german', 'heinz oskar wuttig']"
2586,which position in football does angelo pizzetti play as?,['Angelo Pizzetti'],['angelo pizzetti'],['angelo pizzetti'],['angel'],['angelo pizzetti']
2587,Name a person with the profession of impresario.,['impresario'],['impresario'],[],[],[]
2588,is rhett miller or beyonce the artist associated with mythologies,['Mythologies'],['rhett miller or beyonce'],"['rhett miller', 'beyonce']",[],"['rhett miller', 'beyonce']"
2589,where is rok hanžič from,['Rok Hanžič'],['rok hanzic'],['rok hanžič'],[],['rok hanÅ ¾iÄį']
2590,what's the language that four stones for kanemitsu was filmed in,['Four Stones for Kanemitsu'],['kanemitsu'],['four stones for kanemitsu'],[],['four stones for kanemitsu']
2591,What is the sex of edgar wilson,['Edgar Wilson'],['edgar wilson'],['edgar wilson'],[],['edgar wilson']
2592,what indian screenwriter was born in mumbai,['Mumbai'],"['mumbai', 'indian screenwriter']","['indian', 'mumbai']",['dian'],"['indian', 'mumbai']"
2593,where did cardell camper die,['Cardell Camper'],['cardell camper'],['cardell'],[],['cardell camper']
2594,who are individuals born in montreal,['Montreal'],['montreal'],['montreal'],[],['montreal']
2595,what is konstantin dzutsev's nationality?,['Konstantin Dzutsev'],['konstantin dzutsev'],['konstantin dzutsev'],['k'],['konstantin dzutsev']
2596,who created batman,['Batman'],['batman'],[],[],['batman']
2597,what type of game is pingus?,['Pingus'],['pingus'],[],[],[]
2598,how is the 11425 wearydunlop categorized,['11425 Wearydunlop'],['11425 wearydunlop'],[],[],['wearydunlop']
2599,Which gameplay mode is used for harry potter and the half-blood prince?,['Harry Potter and the Half-Blood Prince'],['harry potter and the half-blood prince'],"['harry potter', 'the half-blood prince']",[],"['harry potter and the', '-', 'prince']"
2600,Where did ferdinando galli-bibiena pass away,['Ferdinando Galli-Bibiena'],"['bibiena', 'ferdinando galli']",['ferdinando galli-bibiena'],[],['ferdinando galli-bibiena']
2601,Who was born in yakima?,['Yakima'],['yakima'],[],[],['yakima']
2602,what is sergei puskepalis's place of birth,['Sergei Puskepalis'],['sergei puskepalis'],['sergei puskepalis'],[],['sergei puskepalis']
2603,What is the video game genre of god of war iii,['God of War III'],['god of war iii'],['god of war iii'],[],['god of war']
2604,what position does jay gainer play?,['Jay Gainer'],['jay gainer'],['jay gainer'],[],['jay gainer']
2605,What is the place of death of ralph m. rich?,['Ralph M. Rich'],['ralph m. rich'],['ralph m. rich'],[],['ralph m. rich']
2606,what is per roar bredvold's sex,['Per Roar Bredvold'],['roar bredvold'],['bredvold'],[],['roar bredvold']
2607,what player mode is available for dance dance revolution ultramix 3?,['Dance Dance Revolution Ultramix 3'],['dance dance revolution ultramix 3'],['dance revolution ultramix 3'],[],['dance dance revolution ultramix 3']
2608,what is the production company for the film on the road,['On the Road'],['road'],[],[],[]
2609,what kind of film is the tomb of ligeia ,['The Tomb of Ligeia'],['ligeia'],['the tomb of ligeia'],[],['tomb of ligeia']
2610,what is t. keith glennan's nationality,['T. Keith Glennan'],"['nationality', 't. keith glennan']",['t. keith glennan'],[],['t. keith glennan']
2611,what kind of film is the fly,['The Fly'],"['film', 'fly']",[],[],[]
2612,what is the tv program all that's country of origin,['All That'],['all that'],[],[],[]
2613,yes (band)  is a performer of what musical genre,['Yes'],['yes'],[],[],[]
2614,which country does terry considine belong to,['Terry Considine'],['terry considine'],['terry considine'],[],['terry considine']
2615,was kastro born in manhattan or boston,['Kastro'],"['was kastro', 'manhattan or boston']","['kastro', 'manhattan', 'boston']",[],"['kastro', 'manhattan', 'boston']"
2616,"what county is bernardsville, new jersey in",['Bernardsville'],"['bernardsville', 'new jersey']","['bernardsville', 'new jersey']","['be', 'rdsville']","['bernardsville', 'new jersey']"
2617,What baseball player was born in san francisco?,['San Francisco'],['san francisco'],['san francisco'],[],['san francisco']
2618,Name an artist on the label flip records,['Flip Records'],['label flip records'],[],[],['flip records']
2619,what genre of film is night and day in?,['Night and Day'],['film'],[],[],[]
2620,Which position does the football player samir fazli play?,['Samir Fazli'],['football player samir fazli'],['samir fazli'],['sa'],['samir fazli']
2621,what position does corey webster play in football,['Corey Webster'],['corey webster'],['corey webster'],[],['corey webster']
2622,what is the sex of hubert renfro knickerbocker?,['Hubert Renfro Knickerbocker'],['hubert renfro knickerbocker'],['hubert renfro knickerbocker'],[],['hubert renfro knickerbocker']
2623,What is the place of death of lane smith?,['Lane Smith'],['lane smith'],[],[],['lane smith']
2624,what does 3665 fitzgerald rotate around ,['3665 Fitzgerald'],['3665 fitzgerald'],[],[],['fitzgerald']
2625,which airport is the hub for winair,['Winair'],['winair'],['winair'],[],['winair']
2626,what kind of music does the emerson string quartet play,['Emerson String Quartet'],['emerson string quartet'],[],[],['emerson']
2627,"who is the child of santo trafficante, sr.?","['Santo Trafficante, Sr.']","['santo trafficante, sr']",[],[],['santo trafficante']
2628,what kind of gender is malcolm brabant?,['Malcolm Brabant'],['malcolm brabant'],['malcolm brabant'],[],['malcolm brabant']
2629,which musician contributed to acid factory,['Acid Factory'],['acid factory'],[],[],[]
2630,who recorded thunderstorms and neon signs,['Thunderstorms and Neon Signs'],['who'],[],[],[]
2631,which language is composed by quando me'n vo',"[""Quando me'n vo'""]","[""quando me'n vo""]",[],[],"[""quando me'n vo'""]"
2632,who is a person born in imus,['Imus'],['imus'],[],[],['imus']
2633,where was jonas grosch born?,['Jonas Grosch'],['jonas grosch'],['jonas grosch'],[],['jonas grosch']
2634,is hannah frank female or male,['Hannah Frank'],['hannah frank'],['hannah frank'],[],['hannah frank']
2635,which film did film4 productions produce ,['Film4 Productions'],['film4 productions'],[],[],['film4 productions']
2636,what organization was founded by  sidney myer,['Sidney Myer'],['sidney myer'],['sidney myer'],[],['sidney myer']
2637,what is ejnar nettelbladt's nationality?,['Ejnar Nettelbladt'],['ejnar nettelbladt'],['ejnar nettelbladt'],[],['ejnar nettelbladt']
2638,what is the biological gender of gianni solaro?,['Gianni Solaro'],['gianni solaro'],['gianni solaro'],"['gian', 'solar']",['gianni solaro']
2639,What is Christian Pena's place of birth?,['Christian Pena'],['christian pena'],['Christian Pena'],['Christian Pena'],['Christian Pena']
2640,which world conflict did gustav gihr participate in?,['Gustav Gihr'],['gustav gihr'],['gustav gihr'],[],['gustav gihr']
2641,what country is stefan könig from,['Stefan König'],['stefan konig'],['stefan könig'],[],['stefan kÃ¶nig']
2642,what genre of film is emma?,['Emma'],['emma'],['emma'],[],['emma']
2643,who created kutumb,['Kutumb'],['kutumb'],[],[],['kutumb']
2644,name the football position that reis ashraf  plays,['Reis Ashraf'],['reis ashraf'],['reis ashraf'],['ash'],['reis ashraf']
2645,Where is Julien MacDonald from?,['Julien Macdonald'],['julien macdonald'],['Julien MacDonald'],['Julien MacDonald'],['Julien MacDonald']
2646,what country was killing spree filmed in,['Killing Spree'],"['country', 'spree']",[],[],[]
2647,who founded the international aids vaccine initiative,['International AIDS Vaccine Initiative'],"['international aids vaccine initiative', 'who']",[],[],['international aids']
2648,what genre of film is tortilla heaven,['Tortilla Heaven'],['tortilla heaven'],[],[],[]
2649,what country did slc punk! originate from,['SLC Punk!'],['slc punk'],[],[],['slc punk!']
2650,Name an actor,['actor'],['actor'],[],[],[]
2651,who is meritaten's parents ,['Meritaten'],['meritaten'],['meritaten'],[],['meritaten']
2652,What sort of movie is the wrecking crew,['The Wrecking Crew'],['wrecking crew'],[],[],[]
2653,where did charles cleveland pass away,['Charles Cleveland'],['charles cleveland'],['charles cleveland'],[],['charles cleveland']
2654,what belt does  2295 matusovskij belong to,['2295 Matusovskij'],['2295 matusovskij'],[],[],['matusovskij']
2655,ivan jević is a Serbian footballer playing in which position?,['Ivan Jević'],"['serbian footballer', 'ivan jevic']","['ivan jević', 'Serbian']","['ivan jević', 'Serbian']","['ivan jeviÄĩ', 'Serbian']"
2656,which country is swingers located in?,['Swingers'],"['country', 'swingers']",[],[],[]
2657,what subset of rock does erik brann play,['Erik Brann'],['erik brann'],['erik brann'],[],['erik brann']
2658,what position does vicente biurrun play in football,['Vicente Biurrun'],['vicente biurrun'],['vicente biurrun'],[],['vicente biurrun']
2659,Name an american football player,['American football player'],['american football player'],['american'],[],['american']
2660,what is an album by the miracles,['The Miracles'],['the miracles'],[],[],['miracles']
2661,What's an example of a baseball pitcher?,['pitcher'],['baseball pitcher'],[],[],[]
2662,What gender is jerry jaxon,['Jerry Jaxon'],['jerry jaxon'],['jerry jaxon'],[],['jerry jaxon']
2663,where did napoleon zervas die,['Napoleon Zervas'],['napoleon zervas'],['napoleon zervas'],[],['napoleon zervas']
